pub_date	title	venue	author	excerpt	bibtex	url_slug	paper_url	slides_poster	video	dataset	code
June 2018.	Natural Language to Structured Query Generation via Meta-Learning	NAACL-HLT-2018	"Po-Sen Huang, Chenglong Wang, Rishabh Singh, Wen-tau Yih and Xiaodong He"								
June 2018.	Tracking State Changes in Procedural Text: A Challenge Dataset and Models for Process Paragraph Comprehension	NAACL-HLT-2018	"Bhavana Dalvi, Lifu Huang, Niket Tandon, Wen-tau Yih and Peter Clark"								
February 2018.	A Knowledge-Grounded Neural Conversation Model	AAAI-2018	"Marjan Ghazvininejad, Chris Brockett, Ming-Wei Chang, Bill Dolan, Jianfeng Gao, Wen-tau Yih and Michel Galley"								
September 2017.	Maximum margin reward networks for learning from explicit and implicit supervision	EMNLP-2017	"Haoruo Peng, Ming-Wei Chang and Wen-tau Yih"								
30 July 2017.	Search-based Neural Structured Learning for Sequential Question Answering	ACL-2017	"Mohit Iyyer, Wen-tau Yih and Ming-Wei Chang"								
	Cross-Sentence N-ary Relation Extraction with Graph LSTMs	TACL	"Nanyun Peng, Hoifung Poon, Chris Quirk, Kristina Toutanova and Wen-tau Yih"								
November 2016.	Learning from Explicit and Implicit Supervision Jointly for Algebra Word Problems	EMNLP-2016	"Shyam Upadhyay, Ming-Wei Chang, Kai-Wei Chang and Wen-tau Yih"								
7 August 2016.	Compositional Learning of Embeddings for Relation Paths in Knowledge Bases and Text	ACL-2016	"Kristina Toutanova, Xi Victoria Lin, Wen-tau Yih, Hoifung Poon, and Chris Quirk"								
7 August 2016.	The Value of Semantic Parse Labeling for Knowledge Base Question Answering	ACL-2016	"Wen-tau Yih, Matthew Richardson, Christopher Meek, Ming-Wei Chang, and Jina Suh"								
	Reasoning in Vector Space: An Exploratory Study of Question Answering	ICLR-2016	"Moontae Lee, Xiaodong He, Wen-tau Yih, Jianfeng Gao, Li Deng, and Paul Smolensky"								
11 April 2016.	Table Cell Search for Question Answering	WWW-2016	"Huan Sun, Hao Ma, Xiaodong He, Wen-tau Yih, Yu Su, and Xifeng Yan"								
September 2015.	WikiQA: A Challenge Dataset for Open-Domain Question Answering	EMNLP-2015	"Yi Yang, Wen-tau Yih, and Christopher Meek"								
28 July 2015.	Semantic Parsing via Staged Query Graph Generation: Question Answering with Knowledge Base	ACL-IJCNLP-2015	"Wen-tau Yih, Ming-Wei Chang, Xiaodong He, and Jianfeng Gao"								
	Embedding Entities and Relations for Learning and Inference in Knowledge Bases	ICLR-2016	"Bishan Yang, Wen-tau Yih, Xiaodong He, Jianfeng Gao, and Li Deng"								
May 2015.	Questions vs. Queries in Informational Search Tasks	WWW-2015	"Ryen W. White, Matthew Richardson, and Wen-tau Yih"								
May 2015.	Open Domain Question Answering via Semantic Enrichment	WWW-2015	"Huan Sun, Hao Ma, Wen-tau Yih, Chen-Tse Tsai, Jingjing Liu, and Ming-Wei Chang"								
	Web-based Question Answering: Revisiting AskMSR	no. MSR-TR-2015-20	"Chen-Tse Tsai, Wen-tau Yih, and Christopher J.C. Burges"								
	Learning Multi-Relational Semantics Using Neural-Embedding Models	in NIPS 2014 workshop on Learning Semantics	"Bishan Yang, Wen-tau Yih, Xiaodong He, Jianfeng Gao, and Li Deng"								
10 December 2014.	Joint Semantic Utterance Classification and Slot Filling with Recursive Neural Networks	in 2014 IEEE Spoken Language Technology Workshop (SLT 2014)	"Daniel Guo, Gokhan Tur, Wen-tau Yih, and Geoffrey Zweig"								
	Deep Learning and Continuous Representations for Language Processing (Tutorial for SLT-2014)	7 December 2014.	Xiaodong He and Wen-tau Yih								
October 2014.	Typed Tensor Decomposition of Knowledge Bases for Relation Extraction	 the 2014 Conference on Empirical Methods in Natural Language Processing	"Kai-Wei Chang, Wen-tau Yih, Bishan Yang, and Christopher Meek"								
